folder;file;point1_x;point1_y;point2_x;point2_y
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;770.5;405.5;795.5;504.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;782.5;599.5;867.5;580.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;792.5;509.5;853.5;579.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;806.5;387.5;952.5;509.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;868.5;529.5;952.5;509.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;2.5_10;845.5;345.5;814.5;394.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;265.5;447.5;237.5;576.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;369.5;523.5;351.5;674.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;456.5;677.5;572.5;708.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;434.5;618.5;460.5;683.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;734.5;813.5;778.5;957.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;863.5;546.5;801.5;646.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;838.5;409.5;896.5;457.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;868.5;468.5;848.5;510.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;887.5;58.5;881.5;83.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;889.5;63.5;883.5;70.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.1_11;883.5;69.5;885.5;76.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;268.5;486.5;234.5;701.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;363.5;558.5;369.5;670.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;365.5;650.5;433.5;679.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;431.5;675.5;432.5;738.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;447.5;739.5;492.5;743.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;521.5;769.5;539.5;752.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;530.5;758.5;540.5;755.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;542.5;753.5;599.5;758.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;715.5;844.5;758.5;969.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;797.5;673.5;878.5;639.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;806.5;666.5;769.5;717.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;782.5;585.5;817.5;576.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;793.5;585.5;801.5;578.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;851.5;393.5;823.5;456.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;821.5;450.5;848.5;477.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;822.5;353.5;849.5;392.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;826.5;724.5;962.5;705.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;846.5;530.5;906.5;626.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;887.5;345.5;1006.5;449.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;919.5;512.5;966.5;579.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.2_12;920.5;508.5;1023.5;451.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.3_13;684.5;850.5;727.5;969.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.3_13;776.5;722.5;922.5;702.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.3_13;854.5;427.5;1007.5;492.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.3_13;950.5;600.5;902.5;698.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.3_13;900.5;571.5;958.5;608.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;322.5;470.5;318.5;695.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;396.5;525.5;396.5;729.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;406.5;720.5;583.5;745.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;770.5;829.5;830.5;957.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;842.5;613.5;801.5;680.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;806.5;389.5;906.5;489.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;912.5;534.5;858.5;594.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;807.5;609.5;865.5;591.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;1045.5;484.5;928.5;645.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.4_14;948.5;411.5;1034.5;485.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;401.5;555.5;413.5;603.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;444.5;615.5;420.5;710.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;420.5;601.5;470.5;610.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;420.5;715.5;661.5;771.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;494.5;627.5;500.5;673.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;500.5;659.5;497.5;671.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;509.5;667.5;551.5;671.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;549.5;707.5;573.5;684.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;759.5;848.5;797.5;928.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;784.5;648.5;816.5;645.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;794.5;644.5;803.5;648.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;785.5;672.5;835.5;661.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;821.5;345.5;974.5;478.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;832.5;427.5;875.5;488.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;871.5;495.5;955.5;475.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;3.5_15;1020.5;527.5;981.5;591.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;4.1_16;692.5;795.5;719.5;950.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;4.1_16;740.5;687.5;896.5;668.5
J:\Users\Berners_Lukas\von_Martina\Outcome_SlipLines\Area1_Indents1;4.1_16;787.5;518.5;848.5;480.5
